tiempo,led_verde,led_rojo,val_x,val_y
4.549999994196696e-05,1,0.002320499997040315,514,508
0.576403899999832,1,29.39659889999143,512,507
0.646899699999949,1,32.9918846999974,513,508
0.7154989999999088,1,36.49044899999535,513,507
0.7864208999999391,1,40.107465899996896,513,507
0.8588030999999319,1,43.798958099996526,513,507
0.9312244999998711,1,47.49244949999343,512,507
1.0026011999998445,1,51.13266119999207,512,507
1.0732263999998395,1,54.734546399991814,513,507
1.1456908000000112,1,58.43023080000057,513,507
1.216278599999896,1,62.030208599994694,513,507
1.2885626999998294,1,65.7166976999913,512,507
1.3566134999998667,1,69.1872884999932,513,507
1.4257715999999618,1,72.71435159999805,513,507
1.4962840999999116,1,76.3104890999955,512,507
1.564189499999884,1,79.77366449999408,512,507
1.6346346000000267,1,83.36636460000136,512,507
1.704921000000013,1,86.95097100000066,512,507
1.775352699999985,1,90.54298769999923,512,507
1.8454015999998319,1,94.11548159999143,512,507
1.9159810999999536,1,97.71503609999763,512,507
1.9865654000000177,1,101.3148354000009,512,507
2.0566317000000254,1,104.8882167000013,513,507
2.1269360999999662,1,108.47374109999828,512,507
2.201058699999976,1,112.25399369999877,512,507
2.27373149999994,1,115.96030649999693,512,506
2.346438899999839,1,119.6683838999918,512,507
2.4173673000000235,1,123.2857323000012,512,507
2.488036399999828,1,126.88985639999123,512,506
2.5603076999998393,1,130.5756926999918,512,506
2.6303983999998763,1,134.1503183999937,511,506
2.701373999999987,1,137.77007399999934,511,506
2.7737893999999415,1,141.463259399997,403,506
2.8424170999999205,1,144.96327209999595,0,1023
2.9135584999999082,1,148.59148349999532,511,1023
2.988061499999958,1,152.39113649999786,596,888
3.060658999999987,1,156.09360899999933,1023,833
3.1347862000000077,1,159.8740962000004,1023,794
3.207852799999955,1,163.6004927999977,720,777
3.2795300000000225,1,167.25603000000115,510,505
3.3528298999999606,1,170.994324899998,510,506
3.420992399999932,1,174.47061239999653,511,506
3.493517799999836,1,178.16940779999163,1022,308
3.5688336999999137,1,182.0105186999956,1023,430
3.641237399999909,1,185.70310739999536,335,506
3.7134753999998793,1,189.38724539999384,0,506
3.783032800000001,1,192.93467280000004,0,506
3.8516577000000325,1,196.43454270000166,767,310
3.924244499999986,1,200.1364694999993,1023,109
3.997603799999979,1,203.87779379999893,1022,391
4.071961099999953,1,207.6700160999976,0,1023
4.140993999999864,1,211.19069399999307,0,1023
4.2117607000000135,1,214.7997957000007,0,687
4.278887999999824,1,218.22328799999104,1023,170
4.352161099999876,1,221.96021609999366,1023,152
4.427380299999868,1,225.79639529999326,128,517
4.4997147999999925,1,229.48545479999962,0,836
4.568339799999876,1,232.98532979999368,512,506
4.639257999999927,1,236.60215799999628,1023,216
4.712502500000028,1,240.33762750000142,1023,212
4.78701349999983,1,244.13768849999133,0,941
4.8578215,1,247.7488965,0,941
4.911650099999861,1,250.4941550999929,511,506
4.979629400000022,1,253.9610994000011,1023,226
